film,budget,box_office_us_canada,box_office_other,box_office_worldwide
Toy Story,30000000,191796233,181757800,373554033
A Bug's Life,120000000,162798565,200460294,363258859
Toy Story 2,90000000,245852179,251522597,497374776
"Monsters, Inc.",115000000,289916256,342400393,632316649
Finding Nemo,94000000,339714978,531300000,871014978
The Incredibles,92000000,261441092,370165621,631606713
Cars,120000000,244082982,217900167,461983149
Ratatouille,150000000,206445654,417280431,623726085
WALL-E,180000000,223808164,297503696,521311860
Up,175000000,293004164,442094918,735099082
Toy Story 3,200000000,415004880,651964823,1066969703
Cars 2,200000000,191452396,368400000,559852396
Brave,185000000,237283207,301700000,538983207
Monsters University,200000000,268492764,475066843,743559607
Inside Out,175000000,356461711,501149463,857611174
The Good Dinosaur,175000000,123087120,209120551,332207671
Finding Dory,200000000,486295561,542275328,1028570889
Cars 3,175000000,152901115,231029541,383930656
Coco,175000000,209726015,597356181,807082196
Incredibles 2,200000000,608581744,634223615,1242805359
Toy Story 4,200000000,434038008,639356585,1073394593
Onward,175000000,61555145,80394976,141950121
Soul,175000000,NA,135435315,135435315
Luca,NA,NA,NA,NA
