number,film,release_date
1,Toy Story,1995-11-22
2,A Bug's Life,1998-11-25
3,Toy Story 2,1999-11-24
4,"Monsters, Inc.",2001-11-02
5,Finding Nemo,2003-05-30
6,The Incredibles,2004-11-05
7,Cars,2006-06-09
8,Ratatouille,2007-06-29
9,WALL-E,2008-06-27
10,Up,2009-05-29
11,Toy Story 3,2010-06-18
12,Cars 2,2011-06-24
13,Brave,2012-06-22
14,Monsters University,2013-06-21
15,Inside Out,2015-06-19
16,The Good Dinosaur,2015-11-25
17,Finding Dory,2016-06-17
18,Cars 3,2017-06-16
19,Coco,2017-11-22
20,Incredibles 2,2018-06-15
21,Toy Story 4,2019-06-21
22,Onward,2020-03-06
23,Soul,2020-12-25
24,Luca,2021-06-18
25,Turning Red,2022-03-11
26,Lightyear,2022-06-17
27,Kobu and the Lost City of Elephants,2023-06-16
