film,role_type,name
Toy Story,Director,John Lasseter
Toy Story,Musician,Randy Newman
Toy Story,Producer,Bonnie Arnold
Toy Story,Producer,Ralph Guggenheim
Toy Story,Screenwriter,Joel Cohen
Toy Story,Screenwriter,Alec Sokolow
Toy Story,Screenwriter,Andrew Stanton
Toy Story,Screenwriter,Joss Whedon
Toy Story,Storywriter,Pete Docter
Toy Story,Storywriter,John Lasseter
Toy Story,Storywriter,Joe Ranft
Toy Story,Storywriter,Andrew Stanton
A Bug's Life,Co-director,Andrew Stanton
A Bug's Life,Director,John Lasseter
A Bug's Life,Musician,Randy Newman
A Bug's Life,Producer,Darla K. Anderson
A Bug's Life,Producer,Kevin Reher
A Bug's Life,Screenwriter,Donald McEnery
A Bug's Life,Screenwriter,Bob Shaw
A Bug's Life,Screenwriter,Andrew Stanton
A Bug's Life,Storywriter,John Lasseter
A Bug's Life,Storywriter,Joe Ranft
A Bug's Life,Storywriter,Andrew Stanton
Toy Story 2,Co-director,Ash Brannon
Toy Story 2,Co-director,Lee Unkrich
Toy Story 2,Director,John Lasseter
Toy Story 2,Musician,Randy Newman
Toy Story 2,Producer,Karen Robert Jackson
Toy Story 2,Producer,Helene Plotkin
Toy Story 2,Screenwriter,Doug Chamberlin
Toy Story 2,Screenwriter,Rita Hsiao
Toy Story 2,Screenwriter,Andrew Stanton
Toy Story 2,Screenwriter,Chris Webb
Toy Story 2,Storywriter,Ash Brannon
Toy Story 2,Storywriter,Pete Docter
Toy Story 2,Storywriter,John Lasseter
Toy Story 2,Storywriter,Andrew Stanton
"Monsters, Inc.",Co-director,David Silverman
"Monsters, Inc.",Co-director,Lee Unkrich
"Monsters, Inc.",Director,Pete Docter
"Monsters, Inc.",Musician,Randy Newman
"Monsters, Inc.",Producer,Darla K. Anderson
"Monsters, Inc.",Screenwriter,Dan Gerson
"Monsters, Inc.",Screenwriter,Andrew Stanton
"Monsters, Inc.",Storywriter,Jill Culton
"Monsters, Inc.",Storywriter,Pete Docter
"Monsters, Inc.",Storywriter,Ralph Eggleston
"Monsters, Inc.",Storywriter,Jeff Pidgeon
Finding Nemo,Co-director,Lee Unkrich
Finding Nemo,Director,Andrew Stanton
Finding Nemo,Musician,Thomas Newman
Finding Nemo,Producer,Graham Walters
Finding Nemo,Screenwriter,Bob Peterson
Finding Nemo,Screenwriter,David Reynolds
Finding Nemo,Screenwriter,Andrew Stanton
Finding Nemo,Storywriter,Andrew Stanton
The Incredibles,Director,Brad Bird
The Incredibles,Musician,Michael Giacchino
The Incredibles,Producer,John Walker
The Incredibles,Screenwriter,Brad Bird
The Incredibles,Storywriter,Brad Bird
Cars,Co-director,Joe Ranft
Cars,Director,John Lasseter
Cars,Musician,Randy Newman
Cars,Producer,Darla K. Anderson
Cars,Screenwriter,Dan Fogelman
Cars,Screenwriter,Jorgen Klubien
Cars,Screenwriter,John Lasseter
Cars,Screenwriter,Phil Lorin
Cars,Screenwriter,Kiel Murray
Cars,Screenwriter,Joe Ranft
Cars,Storywriter,John Lasseter
Cars,Storywriter,Jorgen Klubien
Cars,Storywriter,Joe Ranft
Ratatouille,Co-director,Jan Pinkava
Ratatouille,Director,Brad Bird
Ratatouille,Musician,Michael Giacchino
Ratatouille,Producer,Brad Lewis
Ratatouille,Screenwriter,Brad Bird
Ratatouille,Storywriter,Brad Bird
Ratatouille,Storywriter,Jim Capobianco
Ratatouille,Storywriter,Jan Pinkava
WALL-E,Director,Andrew Stanton
