film,source,ranking
Toy Story 2,Rotten Tomatoes,1
Toy Story,Rotten Tomatoes,2
Finding Nemo,Rotten Tomatoes,3
Inside Out,Rotten Tomatoes,4
Toy Story 3,Rotten Tomatoes,5
Up,Rotten Tomatoes,6
Toy Story 4,Rotten Tomatoes,7
Coco,Rotten Tomatoes,8
The Incredibles,Rotten Tomatoes,9
Ratatouille,Rotten Tomatoes,10
"Monsters, Inc.",Rotten Tomatoes,11
Soul,Rotten Tomatoes,12
Turning Red,Rotten Tomatoes,13
WALL-E,Rotten Tomatoes,14
Finding Dory,Rotten Tomatoes,15
Hoppers,Rotten Tomatoes,16
Toy Story 5,Rotten Tomatoes,17
Incredibles 2,Rotten Tomatoes,18
A Bug's Life,Rotten Tomatoes,19
Inside Out 2,Rotten Tomatoes,20
Luca,Rotten Tomatoes,21
Onward,Rotten Tomatoes,22
Elio,Rotten Tomatoes,23
Monsters University,Rotten Tomatoes,24
Brave,Rotten Tomatoes,25
The Good Dinosaur,Rotten Tomatoes,26
Lightyear,Rotten Tomatoes,27
Cars,Rotten Tomatoes,28
Elemental,Rotten Tomatoes,29
Cars 3,Rotten Tomatoes,30
Cars 2,Rotten Tomatoes,31
Cars 3,IGN,29
Lightyear,IGN,28
Finding Dory,IGN,27
Cars 2,IGN,26
The Good Dinosaur,IGN,25
Monsters University,IGN,24
Onward,IGN,23
Brave,IGN,22
Incredibles 2,IGN,21
Soul,IGN,20
Luca,IGN,19
Elio,IGN,18
Toy Story 4,IGN,17
A Bug's Life,IGN,16
Cars,IGN,15
Elemental,IGN,14
Turning Red,IGN,13
Inside Out 2,IGN,12
Ratatouille,IGN,11
Toy Story 2,IGN,10
Up,IGN,9
Finding Nemo,IGN,8
"Monsters, Inc.",IGN,7
Coco,IGN,6
Inside Out,IGN,5
Toy Story,IGN,4
WALL-E,IGN,3
Toy Story 3,IGN,2
The Incredibles,IGN,1
Cars 3,IndieWire,29
Lightyear,IndieWire,28
Finding Dory,IndieWire,27
Cars 2,IndieWire,26
The Good Dinosaur,IndieWire,25
Monsters University,IndieWire,24
Onward,IndieWire,23
Brave,IndieWire,22
Incredibles 2,IndieWire,21
Soul,IndieWire,20
Luca,IndieWire,19
Elio,IndieWire,18
Toy Story 4,IndieWire,17
A Bug's Life,IndieWire,16
Cars,IndieWire,15
Elemental,IndieWire,14
Turning Red,IndieWire,13
Inside Out 2,IndieWire,12
Ratatouille,IndieWire,11
Toy Story 2,IndieWire,10
Up,IndieWire,9
Finding Nemo,IndieWire,8
"Monsters, Inc.",IndieWire,7
Coco,IndieWire,6
Inside Out,IndieWire,5
Toy Story,IndieWire,4
WALL-E,IndieWire,3
Toy Story 3,IndieWire,2
The Incredibles,IndieWire,1
Cars 2,Slant,31
Cars,Slant,30
The Good Dinosaur,Slant,29
Lightyear,Slant,28
Elemental,Slant,27
Monsters University,Slant,26
Cars 3,Slant,25
Brave,Slant,24
Onward,Slant,23
Toy Story 5,Slant,22
Hoppers,Slant,21
Inside Out 2,Slant,20
Turning Red,Slant,19
Luca,Slant,18
A Bug's Life,Slant,17
Incredibles 2,Slant,16
Soul,Slant,15
Elio,Slant,14
Toy Story 4,Slant,13
Finding Dory,Slant,12
Inside Out,Slant,11
Coco,Slant,10
Finding Nemo,Slant,9
Toy Story 2,Slant,8
The Incredibles,Slant,7
Toy Story 3,Slant,6
WALL-E,Slant,5
Toy Story,Slant,4
"Monsters, Inc.",Slant,3
Ratatouille,Slant,2
Up,Slant,1
Cars 2,Vox,23
Cars 3,Vox,22
The Good Dinosaur,Vox,21
Cars,Vox,20
Onward,Vox,19
Finding Dory,Vox,18
A Bug's Life,Vox,17
Monsters University,Vox,16
Brave,Vox,15
"Monsters, Inc.",Vox,14
Incredibles 2,Vox,13
Toy Story 4,Vox,12
Inside Out,Vox,11
Toy Story 3,Vox,10
Coco,Vox,9
Toy Story 2,Vox,8
Up,Vox,7
Ratatouille,Vox,6
Finding Nemo,Vox,5
Soul,Vox,4
Toy Story,Vox,3
The Incredibles,Vox,2
WALL-E,Vox,1
Cars 2,WIRED,22
Cars 3,WIRED,21
Onward,WIRED,20
Monsters University,WIRED,19
Finding Dory,WIRED,18
Toy Story 4,WIRED,17
Incredibles 2,WIRED,16
The Good Dinosaur,WIRED,15
Cars,WIRED,14
Brave,WIRED,13
Coco,WIRED,12
A Bug's Life,WIRED,11
Toy Story 3,WIRED,10
Toy Story 2,WIRED,9
Ratatouille,WIRED,8
Inside Out,WIRED,7
The Incredibles,WIRED,6
Up,WIRED,5
"Monsters, Inc.",WIRED,4
Toy Story,WIRED,3
WALL-E,WIRED,2
Finding Nemo,WIRED,1
Cars 2,Thrillist,25
Cars 3,Thrillist,24
Brave,Thrillist,23
Monsters University,Thrillist,22
Cars,Thrillist,21
The Good Dinosaur,Thrillist,20
A Bug's Life,Thrillist,19
Finding Dory,Thrillist,18
Luca,Thrillist,17
Onward,Thrillist,16
Incredibles 2,Thrillist,15
"Monsters, Inc.",Thrillist,13
Toy Story 4,Thrillist,12
Coco,Thrillist,11
Toy Story 2,Thrillist,10
Soul,Thrillist,9
Finding Nemo,Thrillist,8
Up,Thrillist,7
Inside Out,Thrillist,6
Toy Story 3,Thrillist,5
The Incredibles,Thrillist,4
Toy Story,Thrillist,3
WALL-E,Thrillist,2
Ratatouille,Thrillist,1
Cars 2,ScreenRant,31
Cars 3,ScreenRant,30
The Good Dinosaur,ScreenRant,29
Lightyear,ScreenRant,28
Cars,ScreenRant,27
Monsters University,ScreenRant,26
Elemental,ScreenRant,25
Finding Dory,ScreenRant,24
Elio,ScreenRant,23
Onward,ScreenRant,22
Luca,ScreenRant,21
A Bug's Life,ScreenRant,20
The Incredibles,ScreenRant,19
Brave,ScreenRant,18
Hoppers,ScreenRant,17
Soul,ScreenRant,16
Toy Story 5,ScreenRant,15
Turning Red,ScreenRant,14
Inside Out 2,ScreenRant,13
Toy Story 4,ScreenRant,12
Coco,ScreenRant,11
Ratatouille,ScreenRant,10
"Monsters, Inc.",ScreenRant,9
Finding Nemo,ScreenRant,8
Up,ScreenRant,7
Toy Story 2,ScreenRant,6
The Incredibles,ScreenRant,5
Toy Story 3,ScreenRant,4
Inside Out,ScreenRant,3
WALL-E,ScreenRant,2
Toy Story,ScreenRant,1
The Good Dinosaur,Polygon,28
Monsters University,Polygon,27
Toy Story 4,Polygon,26
Cars 2,Polygon,25
Cars 3,Polygon,24
Onward,Polygon,23
Brave,Polygon,22
Finding Dory,Polygon,21
Cars,Polygon,20
Incredibles 2,Polygon,19
A Bug's Life,Polygon,18
Lightyear,Polygon,17
Soul,Polygon,16
Elemental,Polygon,15
Luca,Polygon,14
Toy Story 3,Polygon,13
Up,Polygon,12
Inside Out 2,Polygon,11
