film,theme
Toy Story,A mismatched pair of partners
Toy Story 2,A mismatched pair of partners
"Monsters, Inc.",A mismatched pair of partners
Finding Nemo,A mismatched pair of partners
Ratatouille,A mismatched pair of partners
WALL-E,A mismatched pair of partners
Up,A mismatched pair of partners
Toy Story 3,A mismatched pair of partners
Cars 2,A mismatched pair of partners
Brave,A mismatched pair of partners
Monsters University,A mismatched pair of partners
Inside Out,A mismatched pair of partners
The Good Dinosaur,A mismatched pair of partners
Finding Dory,A mismatched pair of partners
Toy Story,With serious philosophical differences
Toy Story 2,With serious philosophical differences
Finding Nemo,With serious philosophical differences
Brave,With serious philosophical differences
Monsters University,With serious philosophical differences
Inside Out,With serious philosophical differences
The Good Dinosaur,With serious philosophical differences
Finding Dory,With serious philosophical differences
Toy Story,Go on a wacky journey
Bug's Life,Go on a wacky journey
Toy Story 2,Go on a wacky journey
"Monsters, Inc.",Go on a wacky journey
Finding Nemo,Go on a wacky journey
The Incredibles,Go on a wacky journey
WALL-E,Go on a wacky journey
Up,Go on a wacky journey
Toy Story 3,Go on a wacky journey
Cars 2,Go on a wacky journey
Inside Out,Go on a wacky journey
The Good Dinosaur,Go on a wacky journey
Finding Dory,Go on a wacky journey
Toy Story 2,A loved one is lost
Finding Nemo,A loved one is lost
Ratatouille,A loved one is lost
WALL-E,A loved one is lost
Up,A loved one is lost
Toy Story 3,A loved one is lost
Inside Out,A loved one is lost
The Good Dinosaur,A loved one is lost
Finding Dory,A loved one is lost
Toy Story,A child comes of age
Toy Story 2,A child comes of age
"Monsters, Inc.",A child comes of age
Finding Nemo,A child comes of age
The Incredibles,A child comes of age
Up,A child comes of age
Toy Story 3,A child comes of age
Brave,A child comes of age
Inside Out,A child comes of age
The Good Dinosaur,A child comes of age
Finding Dory,A child comes of age
Toy Story 2,Their parent figure realizes nothing lasts forever
"Monsters, Inc.",Their parent figure realizes nothing lasts forever
Finding Nemo,Their parent figure realizes nothing lasts forever
The Incredibles,Their parent figure realizes nothing lasts forever
Brave,Their parent figure realizes nothing lasts forever
Inside Out,Their parent figure realizes nothing lasts forever
Finding Dory,Their parent figure realizes nothing lasts forever
Toy Story 2,There's a super sad piece of music
Finding Nemo,There's a super sad piece of music
Cars,There's a super sad piece of music
WALL-E,There's a super sad piece of music
Up,There's a super sad piece of music
Toy Story 3,There's a super sad piece of music
Inside Out,There's a super sad piece of music
Toy Story,And a wacky ensemble of supporting players
Bug's Life,And a wacky ensemble of supporting players
Toy Story 2,And a wacky ensemble of supporting players
"Monsters, Inc.",And a wacky ensemble of supporting players
Finding Nemo,And a wacky ensemble of supporting players
The Incredibles,And a wacky ensemble of supporting players
Cars,And a wacky ensemble of supporting players
Up,And a wacky ensemble of supporting players
Toy Story 3,And a wacky ensemble of supporting players
Cars 2,And a wacky ensemble of supporting players
Monsters University,And a wacky ensemble of supporting players
Inside Out,And a wacky ensemble of supporting players
Finding Dory,And a wacky ensemble of supporting players
Toy Story,We explore the hidden world of everyday objects
Bug's Life,We explore the hidden world of everyday objects
Toy Story 2,We explore the hidden world of everyday objects
"Monsters, Inc.",We explore the hidden world of everyday objects
Finding Nemo,We explore the hidden world of everyday objects
Cars,We explore the hidden world of everyday objects
Ratatouille,We explore the hidden world of everyday objects
Toy Story 3,We explore the hidden world of everyday objects
Cars 2,We explore the hidden world of everyday objects
Monsters University,We explore the hidden world of everyday objects
Inside Out,We explore the hidden world of everyday objects
Finding Dory,We explore the hidden world of everyday objects
Toy Story,Someone finds their calling
Bug's Life,Someone finds their calling
Toy Story 2,Someone finds their calling
"Monsters, Inc.",Someone finds their calling
The Incredibles,Someone finds their calling
Cars,Someone finds their calling
Ratatouille,Someone finds their calling
WALL-E,Someone finds their calling
Toy Story 3,Someone finds their calling
Brave,Someone finds their calling
Monsters University,Someone finds their calling
Inside Out,Someone finds their calling
The Good Dinosaur,Someone finds their calling
Finding Dory,Someone finds their calling
Toy Story,An ad hoc community is formed by movie's end
Bug's Life,An ad hoc community is formed by movie's end
Toy Story 2,An ad hoc community is formed by movie's end
"Monsters, Inc",An ad hoc community is formed by movie's end
Finding Nemo,An ad hoc community is formed by movie's end
The Incredibles,An ad hoc community is formed by movie's end
Cars,An ad hoc community is formed by movie's end
Ratatouille,An ad hoc community is formed by movie's end
WALL-E,An ad hoc community is formed by movie's end
Up,An ad hoc community is formed by movie's end
Toy Story 3,An ad hoc community is formed by movie's end
Monsters University,An ad hoc community is formed by movie's end
Inside Out,An ad hoc community is formed by movie's end
Finding Dory,An ad hoc community is formed by movie's end
Cars,Cars can talk
Cars 2,Cars can talk
